Question,Answer
"What concoction does Hermione give Harry and Ron to make them appear as Crabbe and Goyle in “Harry Potter and the Chamber of Secrets""",Polyjuice Potion
What are the names of Ron Weasley’s twin brothers,Fred and George
"Which actor portrayed Albus Dumbledore in the first two Harry Potter movies (""The Sorcerer's Stone"" and ""The Chamber of Secrets"")",Richard Harris
"What month, day and year is Harry Potter's birthday",31-Jul-80
"What is the name of the house elf who warns Harry Potter against returning to Hogwarts in ""Harry Potter and the Chamber of Secrets""",Dobby
"What three schools of magic compete in the Triwizard Tournament in ""Harry Potter and the Goblet of Fire""","Hogwarts, Durmstrang and Beauxbatons"
What is Minerva McGonagall a professor of at Hogwarts School for Witchcraft and Wizardry,Transfiguration
"Before ""Twilight,"" Robert Pattinson appeared in ""Harry Potter and the Goblet of Fire""c as what character",Cedric Diggory
What position does Harry Potter play in Quidditch,Seeker
What is Hagrid's first name,Rubeus
"What is the name of the cat belonging to Hogwarts' caretaker, Argus Filch",Mrs. Norris
"What actor plays Hogwarts professor Sybil Trelawney in ""Harry Potter and the Order of the Phoenix""",Emma Thompson
What is the name of Harry Potter's hometown,Godric's Hollow
"What does Harry use to destroy Tom Riddle's diary, a Horcrux, in ""Chamber of Secrets""",The fang of a basilisk
How many players are there on a Quidditch team,7
"In the book, ""Harry Potter and the Half-Blood Prince"" which bridge do the Death Eaters destroy",Brockdale Bridge
"What is the original name of the J.K. Rowling book ""Harry Potter and the Sorcerer's Stone""","""Harry Potter and the Philosopher's Stone"""
"After being destroyed by the Whomping Willow, Harry's Nimbus 2000 is replaced with what broom",The Firebolt
What is Hermione Granger's middle name,Jean
"What pub does the Knight Bus drop Harry Potter off at after he flees the Dursleys' in ""Harry Potter and the Prisoner of Azkaban""",The Leaky Cauldron
"Actor Shirley Henderson plays which iconic character in the Harry Potter movies ""Chamber of Secrets"" and ""Goblet of Fire""",Moaning Myrtle
What is name of Voldemort's beloved snake and companion,Nagini
The Hogwarts Express departs from what platform,9 3/4
What is the name of the shape-shifter that can appear in the likeness of a person's worst fear,Boggart
Harry Potter and the Dursleys live on Privet Drive in Surrey. What is the house number, Answer: 4
What must one use to travel via the Floo Network,Floo powder
"In ""Harry Potter and the Prisoner of Azkaban,"" Hagrid receives a promotion at Hogwarts. What is his new role",Care of Magical Creatures professor
"Whose wedding reception is violently interrupted by Death Eaters in ""Harry Potter and the Deathly Hallows""",Bill Weasley and Fleur Delacour
"Who was Draco Malfoy's date at the Yule Ball in ""Harry Potter and the Goblet of Fire""",Pansy Parkinson
"In Harry Potter's first Quidditch match, how does he ""catch"" the snitch to win the game",In his mouth
What is the name of the wand shop in Diagon Alley,Ollivanders
The deepest vaults of Gringotts Bank are protected by what,A dragon
What are Voldemort's horcruxes (not including Harry Potter),"Tom Riddle's' diary, Marvolo Gaunt's ring, Salazar Slytherin's locket, Helga Hufflepuff's cup, Rowena Ravenclaw's diadem and Nagini."
What is the name of the plant with healing properties whose scream is so piercing it can be fatal,Mandrake
What are the four houses of Hogwarts,"Gryffindor, Slytherin, Hufflepuff and Ravenclaw"
What defensive spell can be used to deflect spells cast by enemies and other wizards,The Protego spell
"Which Harry Potter character is dubbed ""The Half-Blood Prince""",Severus Snape
"Who notably said, ""The ministry has fallen. Scrimgeour is dead. They are coming,"" in ""Harry Potter and the Deathly Hallows""",Kingsley Shacklebolt
What animal is Harry Potter's patronus,The stag
"After missing the train, Harry and Ron use an enchanted car to fly to Hogwarts in ""Chamber of Secrets."" What make and model is the automobile",Ford Anglia
"In ""Harry Potter and the Deathly Hallows"" Harry swims to the bottom of a frozen pond to retrieve what magical item",The sword of Gryffindor
"Who is the Defence Against the Dark Arts professor in ""Harry Potter and the Prisoner of Azkaban""",Remus Lupin
"What position does Ron Weasley play on Gryffindor's Quidditch team in the movie ""Harry Potter and the Half-Blood Prince""",Keeper (or goalie)
"During what major sporting event does Voldemort's ""Dark Mark"" appear in the sky in ""Goblet of Fire""",The Quidditch World Cup
What does the Hogwarts’ motto “Draco Dormiens Nunquam Titillandus” mean,Never tickle a sleeping dragon
"Moony, Wormtail, Padfoot & Prongs are proud to present what notable magical item used in ""Harry Potter and the Prisoner of Azkaban""",The Marauder's Map
What nickname does Hagrid give the three-headed dog that stands guard over the Sorcerer's Stone,Fluffy
"This clever, magical accessory decides which house Hogwarts' students will be assigned to. What is it",The Sorting Hat
"How many presents does Dudley Dursley complain about not receiving on his birthday in ""Harry Potter and the Sorcerer's Stone""",37
What is the name of Albus Dumbledore's phoenix,Fawkes
What is a wizard or witch that can turn into a specific animal at will called,Animagus
What is Ron Weasley's biggest fear,Spiders
"In the ""Order of the Phoenix,"" what kind of collectible plates does Dolores Umbridge display",Cat
Tom Marvolo Riddle is an anagram for what,I am Lord Voldemort
Hermione Granger's parents are Muggle-born and both work as what,Dentists
How are Sirius Black and Bellatrix Lestrange related,They are first cousins
What is the name of Hagrid's hippogriff,Buckbeak
"In ""Harry Potter and the Half-Blood Prince,"" Ginny Weasley joins the Gryffindor Quidditch team playing what position",A Chaser
Which Hogwarts' house does Luna Lovegood belong to,Ravenclaw
What organization is responsible for governing the wizarding world,The Ministry of Magic
"Which American composer and conductor composed ""Hedwig’s Theme,"" otherwise known as the “Harry Potter Theme”",John Williams
What train station is home to the Hogwarts Express,King's Cross Station
At what Diagon Alley store can Hogwarts students purchase their robes,Madam Malkin's
"Which Harry Potter character disguised himself as Scabbers, Ron Weasley's pet rat",Peter Pettigrew
"British actor John Cleese portrays what character in the Harry Potter movies ""Sorcerer's Stone"" and ""Chamber of Secrets""",Nearly Headless Nick
"For which wizarding family was Dobby, the house elf, in servitude to",The Malfoys
"What year was the final movie, ""Harry Potter and the Deathly Hallows – Part 2"" released",2011
"In the Harry Potter books, what are ""squibs""",Children born to wizard parents that have no magical abilities or powers of their own.
"In ""Chamber of Secrets"" who is the author of the autobiography ""Magical Me""",Gilderoy Lockhart
What is the name of Harry Potter's owl,Hedwig
" For the majority of the Harry Potter series, what kind of professor is Severus Snape",Potions
"What does Ron Weasley drink that that nearly kills him in ""Harry Potter and the Half-Blood Prince""",Poisoned mead
What is the name of Hermione Granger's cat,Crookshanks
What poltergeist appears only in the Harry Potter books and not the films,Peeves
"In order, what are the names of the seven Harry Potter books","""Harry Potter and the Sorcerer's Stone,"" ""Harry Potter and the Chamber of Secrets,"" ""Harry Potter and the Prisoner of Azkaban,"" ""Harry Potter and the Goblet of Fire,"" Harry Potter and the Order of the Phoenix,"" ""Harry Potter and the Half-Blood Prince"" and ""Harry Potter and the Deathly Hallows"
What was the name of Hagrid's Norwegian Ridgeback dragon?,Norbert
Cho Chang played in which position in the Ravenclaw Quidditch team?,Seeker
Who did Ron beat to become the Quidditch keeper?,Cormac
Who did Harry Potter share his first kiss with?,Cho Chang
Who killed Dobby the House Elf?,Bellatrix Lestrange
Who played the role of Ron Weasley in the 'Harry Potter' movie series?,Rupert Grint
What type of creature is Mrs Norris?,A cat
The supposed murder of who was one of the reasons Sirius was sent to Azkaban?,Peter Pettigrew
Who is the landlord of The Leaky Cauldron?,Tom
Who played the ghost 'nearly headless Nick'?,John Cleese
Complete this character's name 'Rita ____'.,Skeeter
Moody transfigures who into a ferret as a punishment?,Draco
What is the name of Harry Potter's owl?,Hedwig
What is missing from the well-known title: 'Harry Potter and the ... Prince?,Half-Blood
What is Hagrid?,Half-Giant
What was Professor Lupin?,Werewolf
Who does Hermione smack in the face for badmouthing Hagrid?,Draco
Who does Harry encourage to have a pasty in the first book?,Ron
Who returned as Potions Master in the Half-Blood Prince?,Horace Slughorn
Who was Harry Potter's mother?,Lily Evans
What relation of Harry Potter is Vernon Dursley?,Uncle
What was Mr. Weasley's reaction to discovering his sons had flown his car?,Did You Really?
What was the name of Professor Dumbledore's sister?,Ariana
Who is the Hogwarts school flying teacher?,Madam Hooch
Who plays Professor Quirrell in Harry Potter and the Philosopher's Stone?,Ian Hart
Who played Cedric Diggory in the Harry Potter films?,Robert Pattinson
Who played the role of Harry Potter in the film series?,Daniel Radcliffe
Who is the head teacher at Hogwarts for most of the 'Harry Potter' series?,Albus Dumbledore
What is the name of Harry Potter's giant friend?,Hagrid
What is the surname of Harry Potter's friend Hermione?,Granger
What was the name of Harry Potter's mother?,Lily
What is the term for people born without magical abilities?,Muggles
The Hogwarts Express ends its northbound journey at which station?,Hogsmeade
What birthday does Harry celebrate in the first book?,11th
The Chamber of Secrets was published in which year?,1998
James and Lily Potter died in which year?,1981
Which year saw the release of The Half-Blood Prince?,2005
Who wrote the 'Harry Potter' series of novels?,J. K. Rowling
What is the name of the wand shop on Diagon Alley?,Ollivanders
The Prisoner of Azkaban was released in which year?,1999
What was the name of the fourth movie in the 'Harry Potter' series?,Goblet of Fire
Which Harry Potter movie was released just a few weeks before Christmas 2010?,Deathly Hallows Part 1
What is the name of the fictional game in the 'Harry Potter' series?,Quidditch
What subject does Professor Snape teach in Harry's first year?,Potions
What do wizards call non-magical folk?,Muggles
What is The Three Broomsticks in Harry Potter?,Pub
In which country was the 'Harry Potter' series filmed?,England
Who is the Hogwarts school flying teacher?,Madam Hooch
In what year was the first 'Harry Potter' movie released?,2001
Which was the highest-grossing of the 'Harry Potter' movies?,Deathly Hallows - Part 2
In what year was the last 'Harry Potter' movie released?,2011
Who was the screenwriter for the majority of the 'Harry Potter' movies?,Steve Kloves
Who created the score for the first three 'Harry Potter' movies?,John Williams
Who was a producer on all of the Harry Potter movies?,David Heyman
Dobby and Winky are what kind of magical creatures?,House Elves
What animal is Ron scared of more than anything else?,Spiders
A Chimera has the head of which of the following?,Lion
What is the species of owl that Hedwig belongs to in the 'Harry Potter' novels?,Snowy Owl
How many of Voldemort's horcruxes do they have to destroy in the last film?,3
How many magical objects are there in the story 'The Deathly Hallows'?,3
How many times was Nearly Headless Nick axed in the neck?,45
"According to Harry Potter, around what age do unicorns become white instead of silver or gold?",7
What was the first spell Harry wanted to teach Dumbledore's Army?,Expelliarmus
What is the name of the fictional game in the 'Harry Potter' series?,Quidditch
"In which year did the Quidditch World Cup appear in ""Harry Potter and the Goblet of Fire""?",1994
The Avifors spell turns things into what?,Birds
How many points is the Golden Snitch worth?,150
Who is the only girl in the Triwizard Tournament?,Fleur Delacour
"In a game of Quidditch, catching the Golden Snitch is worth how many points?",150
When does a Quidditch game end?,When the Seeker Catches the Golden Snitch
How many players are on a Quidditch team?,7
What is the only charm Gilderoy Lockhart excels at?,Memory
What does Voldemort take from Harry in The Goblet of Fire?,Blood
Horace Slugworth is disguised as what when Harry first meets him?,Armchair
What should we do to find happiness in the darkest of times?,Turn on the Light
What do the Death Eaters have a tattoo of on their arms?,The Dark Mark
What do ghosts do on their Death Day?,Have A Party
What was Professor Quirrell's first name?,Quirinus
What is Avada Kedavra?,A Killing Curse
What does Hermione use to allow her to attend extra lessons?,A Time Turner
What is the name of the ancient Weasley family owl?,Errol
Who was the second actor to play Professor Dumbledore in the Harry Potter film series?,Michael Gambon
Tom Felton plays which character in the Harry Potter movies?,Draco Malfoy
Rupert Grint sent a video of himself doing what to audition for the part of Ron Weasley?,Rapping
"Had Steven Spielberg directed Harry Potter, which actor did he want to play Harry?",Haley Joel Osment
Which former England rugby international player was Robbie Coltrane's body double for Hagrid?,Martin Bayfield
Who played the role of Hermione in the 'Harry Potter' movie series?,Emma Watson
Who directed the last three Harry Potter movies?,David Yates
