Question,Answer
哈利·波特是什麼咒語的唯一倖存者？,阿哇呾喀呾啦
與哈利波特交好的衛斯理一家曾居住的房子叫什麼？,洞穴屋
學期結束時，學院分最高的學院會贏得什麼榮譽？,學院杯
被食死人抓住後，是誰給哈利波特施了蜇人咒？,妙麗·格蘭傑
阿不福思鄧不利多的守護神是什麼？,山羊
布巴吉（波八吉）教授在霍格華茲教哪一門課程？,麻瓜研究
波巴洞的校長馬克沁夫人（台譯：歐琳·美心夫人）說她的馬只喝什麼？,純麥威士忌
猜猜看，哈利第一次去路平教授辦公室時，在角落看到了什麼？,滾帶落
猜猜看，金妮·衛斯理的蒲絨絨叫什麼名字？,阿洛
曾關押黑巫師蓋瑞·葛林戴華德的紐蒙迦德，位於哪個國家？,奧地利
茶葉占卜是研究什麼的？,研究茶葉渣形狀
初入霍格華茲的第一學年，哈利，榮恩和妙麗在盥洗室打敗了什麼生物？,巨怪（台譯：山怪）
傳聞中，妙麗用什麼形容榮恩的感情？,茶匙
當鄧不利多被革除校長職位後，由誰接任？,桃樂絲·恩不里居
當一個人快死時，喝什麼生物的血可以使其生存下去？,獨角獸
德拉科馬份在三強爭霸賽的舞會上的舞伴是誰？,潘西·帕金森
鄧不利多屬於哪個學院？,葛萊分多
對黑魔法影響頗深，以第一位蛇妖孵化者著稱的最早爬說語之一是？,惡人赫珀
多年前彼得·佩德魯被分到了哪個學院？,葛萊分多
馭心梅與眾不同的地方在哪裡？,顛倒著懸掛在樹上
孚立維教授是哪門課的老師？,符咒學
孚立維教授用什麼方法保護魔法石？,施了魔法的鑰匙
佛地魔的哪個分靈體被藏在古靈閣萊斯壯倉庫？,海加·赫夫帕夫的金盃
甘普基本變形法則一共有幾條例外法則？,5條
葛萊分多的學院幽靈是？,差點沒頭的尼克
根據推測，佛地魔的母親是使用哪種方式讓他的父親愛上她的？,使用迷情劑
哈利、妙麗、衛斯理一家在哪裡使用了港口鑰去魁地奇世界盃場地？,鼬頭丘
哈利，榮恩和妙麗最喜歡到破釜酒吧喝的飲品是？,奶油啤酒
哈利·波特被食死人抓到馬份莊園時，用的什麼名字？,弗農·達利
哈利波特畢業後去做了什麼工作？,正氣師
哈利波特的出生地是？,戈德里克山谷（台譯：高錐客洞）
哈利波特的摯友榮恩·衛斯理有多少兄弟姐妹？,6個
哈利·波特第一次使用呼嚕粉時誤入了哪裡？,博金·博克古董商店（台譯：波金與伯克氏古董商店）
哈利波特三年級時為什麼沒能和其他同學一起去活米村？,他的姨丈沒有簽同意書
哈利波特學生時，羅咪·凡曾十分迫切的想與他約會原因是？,他是被選中的孩子
哈利波特在動物園使用過什麼天賦？,爬說語
哈利的第一根魔杖多長？,11英吋
哈利的第一根魔杖杖芯是什麼？,鳳凰羽毛
哈利堅稱佛地魔捲土重來，恩不里居懲罰他反復抄寫什麼？,我不可以說謊
哈利在華麗與污痕書店看到過誰的簽售會？,吉德羅·洛哈
海格如何描述牙牙？,膽小
羅威娜·雷文克勞把她的母親的冠冕藏在哪裡？,在一棵空心的樹中
妙麗·格蘭傑用了誰的簽名才能借到《強力藥劑》？,吉德羅·洛哈
妙麗與哈利見面時，使用的第一個咒語？,復復修（修復如初）
紅軟帽通常在哪裡被發現？,有流血的地方
霍格華茲城堡坐落在什麼地方？,蘇格蘭高地
胡奇夫人曾用過哪一種飛天掃帚？,銀箭號
佛地魔曾喝了誰的血來維持生命？,獨角獸的血
下列選項中，最愛搗蛋的是誰？,皮皮鬼
奇獸飼育學課上海格所使用的教科書是什麼？,怪獸的怪獸書
麥格教授是哪門課的老師？,變形學
意若思鏡名字的詞源來自哪個單詞？,desire
如果你想摧毀一個分靈體，下列哪個物品可能會有幫助？,蛇妖的毒牙
海格教授曾提起過，他在翻倒巷找什麼驅蟲劑時，遇見了迷路的哈利？,食肉蛞蝓
妙麗·格蘭傑最不擅長的課程是什麼？,占卜課
魔法石可以帶來什麼？,永生
鄧不利多曾在意若思鏡裡藏了什麼？,魔法石
誰摧毀了佛地魔的最後一個分靈體？,奈威·隆巴頓
哈利·波特曾在葛萊分多魁地奇球隊打什麼位置？,搜捕手
哈利·波特學生時期的藥草學老師是誰？,芽菜教授
蓋瑞·葛林戴華德曾潛伏進美國魔法國會，當時他的化名為？,帕西瓦爾·葛雷夫斯（中國譯：博知維·格雷維斯）
傳說中的混血王子是誰？,賽佛勒斯·石內卜
有誰還記得佛地魔學生時期的名字？,湯姆·瑞斗
哈利·波特在校時，誰的成績總是班級第一？,妙麗·格蘭傑
霍格華茲的獵場看守是誰？,魯霸·海格
賽佛勒斯·石內卜在舊《高級魔藥製作》課本曾署名什麼？,混血王子
史萊哲林學生曾用哪首歌嘲諷榮恩·衛斯理？,《衛斯理是我們的王》
誰在哈利·波特額頭上留下了閃電疤痕？,佛地魔
誰養了一隻叫拿樂絲太太的貓？,阿各·飛七
誰教會了哈利·波特護法咒？,路平
以下四人誰沒有參加過三強爭霸賽？,弗雷
霍格華茲各學院的學院杯分數是用什麼記錄的？,裝滿寶石的沙漏
佛客使屬於哪種生物？,鳳凰
什麼生物只有面對過死亡的人才能看見？,騎士墮鬼馬
比爾·衛斯理在古靈閣的職位是什麼？,解咒員
1997年佛地魔控制下的魔法部內，大廳雕像上寫著什麼？,魔法即是力量（中國譯：魔法即強權）
什麼毛茸茸的東西高興時發出嗡嗡聲，還喜歡把長舌頭伸到巫師的鼻子裡？,胖胖球
火螃蟹和人面蠍尾獅交配後會得到什麼？,爆尾釘蝦
小天狼星·布萊克的外號有人知道嗎？,獸足
下列人物中誰不是哈利·波特的同學？,花兒·戴樂古
前黑魔法防禦課老師吉德羅·洛哈最擅長的咒語是什麼？,一忘皆空（台譯：空空，遺忘）
妙麗·格蘭傑最不擅長的咒語是？,護法咒
誰終結了娜吉妮？,奈威
貓頭鷹是值得信賴的寵物，有誰知道哈利·波特的貓頭鷹叫什麼？,嘿美
在跩哥·馬份的幫助下，食死人通過什麼進入了霍格華茲？,消失櫥櫃
誰曾因為喝下了錯誤的復方湯劑變成了貓人？,妙麗·格蘭傑
最初和最終，哈利乘坐什麼交通工具來到及離開水蠟樹街4號的？,小天狼星·布萊克的摩托車
傳聞中的“救世之星”是誰？,哈利·波特
石內卜的守護神咒和誰的一樣？,莉莉·伊凡
什麼生物會以人最害怕的形態出現？,幻形怪
那一項是大眾認可的赫夫帕夫學院的特質？,忠誠
有誰知道，海格養育的小龍叫什麼名字？,蘿蔔（中國譯：諾柏）
霍格華茲女生盥洗室裡游蕩著哪位幽靈？,麥朵
獨角獸寶寶是什麼顏色？,金色
大戰後誰回到霍格華茲完成七年級的學業？,妙麗·格蘭傑
海格給鷹馬巴嘴取的新名字是什麼？,枯翅
賽佛勒斯·石內卜擔任校長的時候，史萊哲林的院長是誰？,赫瑞司·史拉轟
哈利波特最擅長什麼咒語,去去，武器走（中國譯：除你武器）
對抗食死人時，小天狼星布萊克死於誰之手,貝拉·雷斯壯
龍血的十二種用途的發現者是誰？,阿不思·鄧不利多
哪種魔法生物像家貓？,貓貍子（中國譯：獅尾貓）
巫師卡中“卑鄙的海爾波（台譯：惡人赫珀）”培育出了什麼神奇生物？,蛇妖
什麼生物以人腦為為食，並幫助紐特·斯卡曼德逃離了美國魔法國會？,惡閃鴉
在迷你巫師（巫師棋）對決中，榮恩·衛斯理被哪種棋子擊中了？,皇后
跩哥·馬份最終與誰結成了夫妻？,阿斯托利亞·格林格拉斯（台譯：翠菊·綠茵）
